Month,Export_quantity_4707,Export_price_4707,Export_quantity_470710,Export_price_470710,Export_quantity_470720,Export_price_470720,Export_quantity_470730,Export_price_470730,Export_quantity_470790,Export_price_470790
201701,133.4,209.1,33.5,204.3,2.3,229.5,13.0,210.3,15.2,207.5
201702,137.6,208.8,40.3,204.0,4.4,222.1,15.6,215.6,4.1,204.3
201703,122.5,212.9,36.0,208.5,4.7,226.6,16.2,220.0,0.7,212.4
201704,120.0,202.4,25.9,190.4,3.4,218.1,12.2,211.8,15.3,214.4
201705,159.1,204.3,27.8,210.6,3.7,216.4,17.1,216.3,12.5,201.1
201706,151.9,210.1,34.5,214.0,3.2,223.1,16.9,219.8,11.8,209.7
201707,142.2,221.3,31.0,225.4,3.1,221.7,19.8,222.3,8.2,222.1
201708,132.7,236.6,28.6,258.8,2.5,224.5,17.9,221.1,4.7,235.1
201709,156.2,229.4,20.8,252.9,1.8,226.5,14.9,221.7,30.1,227.5
201710,135.8,204.3,37.0,200.4,2.3,229.8,12.9,214.6,3.9,217.7
201711,137.0,212.1,38.7,213.4,2.7,230.6,15.8,215.2,2.4,214.8
201712,112.8,217.6,33.9,211.3,2.6,229.3,16.0,224.5,0.8,215.0
201801,148.4,203.2,29.6,200.3,5.0,237.6,9.0,215.7,22.5,200.7
201802,88.9,201.1,26.3,194.7,4.7,235.0,9.3,213.4,0.6,218.6
201803,135.5,187.2,42.7,168.3,6.9,245.7,12.8,208.9,,
201804,120.4,183.9,34.2,162.7,5.4,241.4,8.4,213.5,8.1,212.7
201805,129.7,204.7,32.9,183.8,8.0,252.2,13.7,223.8,4.7,210.4
201806,125.7,224.7,25.3,235.6,5.5,253.3,14.8,242.0,,
201807,56.6,157.0,3.0,178.5,0.0,225.8,0.7,183.6,,
201808,108.1,222.6,19.8,240.9,5.1,261.2,11.6,245.2,,
201809,116.1,244.9,30.5,252.7,4.3,278.8,13.2,260.0,,
201810,187.2,261.4,48.0,279.0,10.3,270.3,21.5,270.1,,
201811,123.5,257.7,29.7,303.8,5.0,280.8,10.3,282.7,,
201812,135.8,300.2,35.5,321.6,8.0,303.4,15.7,307.7,,
201901,73.4,221.8,13.2,193.3,2.4,269.8,14.1,251.3,,
201902,134.1,193.7,38.8,173.8,5.5,231.7,14.2,238.3,,
201903,93.8,176.5,27.4,151.0,3.6,226.6,10.1,216.5,,
201904,92.3,172.1,25.8,142.0,6.9,220.5,9.5,216.6,,
201905,86.6,178.1,20.0,142.1,6.5,209.1,10.4,224.4,,
201906,71.2,187.2,14.4,148.3,6.0,218.5,10.2,221.8,,
201907,97.1,167.0,28.0,138.5,5.5,200.5,9.5,220.4,,
201908,93.7,151.6,28.1,130.3,6.1,188.3,8.1,197.0,,
201909,78.8,153.3,17.0,125.1,6.4,179.3,10.5,183.3,,
201910,104.8,150.3,26.1,133.2,8.5,168.8,13.4,168.5,,
201911,99.8,136.4,31.9,127.5,5.7,159.0,8.0,162.7,,
201912,115.9,138.2,29.1,117.6,8.9,162.0,15.1,163.7,,
202001,72.1,145.5,24.6,143.3,4.0,155.2,4.2,166.2,,
202002,64.9,152.6,17.6,135.3,6.0,169.9,5.8,167.5,,
202003,65.0,136.7,18.2,114.0,6.3,164.7,4.8,167.6,,
202004,106.4,154.3,33.9,144.3,6.8,174.0,9.7,174.1,,
202005,87.6,176.8,26.8,173.8,3.6,177.6,5.2,179.0,,
202006,85.6,195.2,25.2,204.6,6.1,194.1,5.8,192.3,,
202007,62.5,197.5,18.4,203.6,5.5,195.7,5.2,194.3,,
202008,107.7,195.6,36.1,199.0,7.8,183.5,7.6,194.8,,
202009,66.1,202.4,20.1,206.5,6.2,194.3,5.6,197.3,,
202010,61.1,204.4,19.3,207.4,4.2,198.0,5.4,203.0,,
202011,59.9,210.7,20.2,213.1,4.5,206.9,3.9,205.7,,
202012,97.7,217.0,32.4,215.5,7.7,230.3,6.8,216.7,,
