Quantity_4707,Price_4707,Quantity_470710,Price_470710,Quantity_470720,Price_470720,Quantity_470730,Price_470730,Quantity_470790,Price_470790
65927.81,209.8061956,33864.795,205.5927697,3736.029,256.306094,13044.816,210.0730282,15282.17,207.5474229
66193.449,209.7287301,41319.678,206.0246694,4832.12,226.5299703,15807.671,215.3189423,4233.98,205.8311565
59257.15,214.6877465,36405.93,210.1587296,5199.56,227.9994846,16729.59,220.0994764,922.07,220.253343
57707.35,204.5889129,26044.16,191.1207733,3992.49,233.5494892,12381.4,211.5267256,15289.3,214.3501011
73406.274,209.059024,34917.673,208.033737,4595.995,221.0433214,17999.666,217.7585962,15892.94,197.9931341
73296.216,212.295939,37011.4,213.0175297,3481.43,226.8283435,17349.876,222.67992,15453.51,195.6355546
68852.814,223.130096,34209.659,223.2139467,3655.622,225.1359687,21242.163,226.0396458,9745.37,215.7413213
64581.341,237.9504476,38544.56,247.0230559,2632.1,226.3819764,18093.013,220.7275814,5311.668,236.512523
76470.798,231.2712364,27904.16,237.9630134,2055.91,233.0938611,15819.315,225.0868005,30691.413,228.2527689
67046.075,204.7513445,45191.897,196.0829394,3203.73,243.9431538,13337.292,217.7388033,5313.156,222.2481327
65865.518,213.7278872,42945.73,211.7197915,3507.367,229.8020139,16122.861,216.2173326,3289.56,210.6041537
55635.773,218.3004449,34399.654,211.5137553,3407.513,237.7977722,16143.865,225.9711042,1684.741,243.9360115
71931.227,204.3829309,34172.131,196.2590217,5243.976,238.140678,9190,218.667247,23325.12,203.067294
42761.302,203.1302274,27585.49,192.3807045,5162.55,239.1411221,9413.262,213.8969467,600,218.5866667
66200.529,188.2036622,43911.845,169.1218167,7951.82,246.2379682,13071.427,211.3979598,1265.437,246.0952224
57159.398,186.1602531,34312.855,162.5764455,5824.513,242.9344737,8561.75,214.1642772,8460.28,214.3841575
62234.013,206.9200326,33368.3,183.8556055,9217.294,251.7963515,14114.995,227.6379836,5533.424,218.4047346
47901.783,240.8771715,25555.09,234.4138487,6885.101,259.9168843,14820.93,242.0080251,640.662,267.9119411
9471.362,183.5984096,4638.45,178.4936778,669.051,225.778005,3485.982,183.5735239,677.879,177.0242182
37548.4,245.953223,19960.8,239.9480983,5433.51,262.4758213,11762.46,247.4606502,391.63,277.5119373
49886.055,258.8992455,30475.7,252.7441207,4862.95,279.0744301,13692.2,267.0727129,855.205,232.6564976
82169.157,277.2281575,48043.1,279.0428178,11069.567,273.2838602,22155.79,275.2259793,900.7,278.1603198
47067.382,296.4606572,29717.9,303.805215,5650.212,282.9201807,10742.85,285.2725301,956.42,273.9110433
61176.506,315.0211292,35642.36,321.1223948,8598.276,303.2263677,15956.5,310.1682073,979.37,275.5955359
33161.918,229.8393597,14351.61,189.7529267,3187.068,273.390778,14442.9,256.1989628,1180.34,277.109138
62017.93,197.8902069,39708.77,173.04948,7248.24,244.0862885,14275.67,240.0642492,785.25,260.9169054
44631.788,179.5387852,28614.09,150.2462947,4457.168,239.476726,10430.29,224.0976042,1130.24,273.5560589
44452.89,173.8973327,27024.55,141.7662089,7729.76,228.3693155,9602.88,219.275155,95.7,294.2319749
40493.11,181.90181,20737.85,141.1160752,7532.89,217.706219,10400.6,224.404169,1821.77,255.4828546
32820.55,193.0215368,14629.57,147.7667491,6992.6,226.5063067,10615.06,231.0695371,583.32,234.2196393
45918.03,170.8439582,28077.63,138.5907927,6580.76,211.1959713,9891.8,227.7714875,1367.84,227.0865013
44520.618,154.4791449,28711.52,130.5332842,6943.388,197.8091963,8085.47,196.9737072,780.24,209.6880447
36223.28,157.2543403,17510.94,125.7500168,7239.06,188.8981442,10525.2,183.3105309,948.08,208.2545777
50160.608,152.9491628,26280.8,135.1994232,9345.62,173.8213195,13494.63,168.7814338,1039.558,208.5145802
47323.2,139.3075278,32192.02,126.9482002,6085.36,163.2417803,8013.07,162.6848386,1032.75,202.1496006
55524.04,140.6068615,29543.17,117.7897294,9641.24,166.703868,15172.89,164.0293313,1166.74,198.1135471
33906.27,149.347569,24611.7,143.341297,4250.17,157.2551216,4163.93,166.2477515,,
31363.04,153.4088532,17561.5,135.2987501,7204.84,177.9582892,5980.22,172.8285916,,
30680.39,136.3643357,18240.4,114.0308327,6809.04,167.4300636,4837.91,167.5824891,,
51822.42,154.9173697,33909.2,144.2671016,7322.33,177.6048061,9747,174.5078486,,
37772.72,175.949733,27200.31,173.3340171,4436.76,185.1405079,5205.49,178.9812294,,
39226.72,199.7103505,25733.63,203.1695878,6607.97,194.0194946,5761.24,192.2882921,,
29970.45,199.8379404,18584.99,202.9924687,5672.46,195.7801377,5227.9,194.254672,,
53271.63,195.966033,36100.5,198.9919253,8029.81,184.8355067,7617.07,194.7915668,,
32993.32,202.4225813,20142.4,206.490736,6748.92,195.4444563,5618.71,197.2798027,,
30373.82,204.7861942,19277.8,207.3610059,4692.47,199.8209898,5445.85,203.025423,,
29745.94,211.2265069,20195.2,213.0680063,5019.33,207.6322936,3899.22,205.6739553,,
48607.5,217.3380034,32431.3,215.4541754,8036.13,228.8843013,6806.01,216.7402046,,
