Waste Paper,Quantity,Price
470710,33.5,204.3
470710,40.3,204
470710,36,208.5
470710,25.9,190.4
470710,27.8,210.6
470710,34.5,214
470710,31,225.4
470710,28.6,258.8
470710,20.8,252.9
470710,37,200.4
470710,38.7,213.4
470710,33.9,211.3
470710,29.6,200.3
470710,26.3,194.7
470710,42.7,168.3
470710,34.2,162.7
470710,32.9,183.8
470710,25.3,235.6
470710,3,178.5
470710,19.8,240.9
470710,30.5,252.7
470710,48,279
470710,29.7,303.8
470710,35.5,321.6
470710,13.2,193.3
470710,38.8,173.8
470710,27.4,151
470710,25.8,142
470710,20,142.1
470710,14.4,148.3
470710,28,138.5
470710,28.1,130.3
470710,17,125.1
470710,26.1,133.2
470710,31.9,127.5
470710,29.1,117.6
470710,24.6,143.3
470710,17.6,135.3
470710,18.2,114
470710,33.9,144.3
470710,26.8,173.8
470710,25.2,204.6
470710,18.4,203.6
470710,36.1,199
470710,20.1,206.5
470710,19.3,207.4
470710,20.2,213.1
470710,32.4,215.5
470720,2.3,229.5
470720,4.4,222.1
470720,4.7,226.6
470720,3.4,218.1
470720,3.7,216.4
470720,3.2,223.1
470720,3.1,221.7
470720,2.5,224.5
470720,1.8,226.5
470720,2.3,229.8
470720,2.7,230.6
470720,2.6,229.3
470720,5,237.6
470720,4.7,235
470720,6.9,245.7
470720,5.4,241.4
470720,8,252.2
470720,5.5,253.3
470720,0,225.8
470720,5.1,261.2
470720,4.3,278.8
470720,10.3,270.3
470720,5,280.8
470720,8,303.4
470720,2.4,269.8
470720,5.5,231.7
470720,3.6,226.6
470720,6.9,220.5
470720,6.5,209.1
470720,6,218.5
470720,5.5,200.5
470720,6.1,188.3
470720,6.4,179.3
470720,8.5,168.8
470720,5.7,159
470720,8.9,162
470720,4,155.2
470720,6,169.9
470720,6.3,164.7
470720,6.8,174
470720,3.6,177.6
470720,6.1,194.1
470720,5.5,195.7
470720,7.8,183.5
470720,6.2,194.3
470720,4.2,198
470720,4.5,206.9
470720,7.7,230.3
470730,13,210.3
470730,15.6,215.6
470730,16.2,220
470730,12.2,211.8
470730,17.1,216.3
470730,16.9,219.8
470730,19.8,222.3
470730,17.9,221.1
470730,14.9,221.7
470730,12.9,214.6
470730,15.8,215.2
470730,16,224.5
470730,9,215.7
470730,9.3,213.4
470730,12.8,208.9
470730,8.4,213.5
470730,13.7,223.8
470730,14.8,242
470730,0.7,183.6
470730,11.6,245.2
470730,13.2,260
470730,21.5,270.1
470730,10.3,282.7
470730,15.7,307.7
470730,14.1,251.3
470730,14.2,238.3
470730,10.1,216.5
470730,9.5,216.6
470730,10.4,224.4
470730,10.2,221.8
470730,9.5,220.4
470730,8.1,197
470730,10.5,183.3
470730,13.4,168.5
470730,8,162.7
470730,15.1,163.7
470730,4.2,166.2
470730,5.8,167.5
470730,4.8,167.6
470730,9.7,174.1
470730,5.2,179
470730,5.8,192.3
470730,5.2,194.3
470730,7.6,194.8
470730,5.6,197.3
470730,5.4,203
470730,3.9,205.7
470730,6.8,216.7
470790,15.2,207.5
470790,4.1,204.3
470790,0.7,212.4
470790,15.3,214.4
470790,12.5,201.1
470790,11.8,209.7
470790,8.2,222.1
470790,4.7,235.1
470790,30.1,227.5
470790,3.9,217.7
470790,2.4,214.8
470790,0.8,215
470790,22.5,200.7
470790,0.6,218.6
470790,8.1,212.7
470790,4.7,210.4
