Company,Price
A,1284
A,1212
A,1193
A,933
A,862
A,700
A,646
B,1247.04
B,900
B,900
B,900
B,600
B,500
B,450
B,450
C,1100
C,1050
C,950
C,750
C,650
C,650
C,600
D,1844
D,1100
D,1051
D,1010
D,763
D,700
D,587
D,580
E,1100
E,1050
E,1000
E,950
E,670
E,570
E,560
F,1000
F,900
F,800
F,600
F,600
F,500
F,500
F,450
G,1092
G,1054
G,1004
G,700
G,658
G,630
G,550
H,1850
H,990
H,730
H,720
H,580
I,1120
I,1050
I,920
I,700
I,600
I,590
I,570
J,1077
J,1030
J,910
J,702
J,690
J,580
J,500
K,758
K,566
L,1110
L,1090
L,1030
L,710
L,540
M,1060
M,1040
M,930
M,680
M,632
M,630
M,590
